,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
46974,A732667,Rocket,2016-08-19 13:01:00,2015-02-11,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Black,Aug,2016
82693,A698752,Patrick,2015-05-04 13:46:00,2014-03-17,Adoption,Foster,Dog,Neutered Male,1 year,Rhod Ridgeback Mix,Brown/Tan,May,2015
127111,A742488,Lulu,2017-04-14 13:30:00,2016-12-22,Adoption,Foster,Dog,Spayed Female,3 months,Pointer Mix,Black/White,Apr,2017
64253,A801445,Torte,2019-09-24 14:38:00,2019-06-17,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby,Sep,2019
133901,A781845,Pip,2018-10-11 16:28:00,2018-08-06,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black/White,Oct,2018
107201,A878020,Cleo,2023-04-14 17:25:00,2022-04-08,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White,Apr,2023
90441,A783437,OMalley,2019-01-06 13:21:00,2016-10-30,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Cream Tabby/White,Jan,2019
146281,A876696,Eleanor,2023-03-30 18:04:00,2021-03-18,Adoption,Foster,Dog,Spayed Female,2 years,Alaskan Husky,White,Mar,2023
109214,A739077,Unknown,2016-12-17 18:29:00,2016-10-20,Adoption,Foster,Dog,Neutered Male,1 month,Pit Bull Mix,Brown,Dec,2016
52315,A766989,Jetson,2018-04-05 16:06:00,2018-01-13,Adoption,Foster,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,Tricolor,Apr,2018
13152,A761923,Sriracha,2017-12-20 08:08:00,2017-10-04,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black/White,Dec,2017
152972,A881039,Bauhaus,2023-06-26 15:55:00,2023-04-04,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black,Jun,2023
28601,A857904,Levi,2022-06-24 21:14:00,2020-05-23,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,Jun,2022
119009,A703349,Jesse,2015-06-01 11:27:00,2014-05-23,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Brown,Jun,2015
29366,A753780,Tink,2017-07-25 18:25:00,2007-07-11,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Blue/White,Jul,2017
103689,A757932,Genos,2017-09-14 11:55:00,2017-06-23,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Sep,2017
22222,A811624,Helix,2020-01-12 16:14:00,2019-07-06,Adoption,Foster,Dog,Neutered Male,6 months,Border Collie Mix,Black/White,Jan,2020
96201,A831726,Fierce,2021-06-26 14:36:00,2021-03-20,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White,Jun,2021
100683,A792382,Lorenzo,2019-04-20 15:20:00,2018-04-09,Adoption,Foster,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown,Apr,2019
143087,A865317,Athena,2022-11-02 12:03:00,2022-07-18,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair,Orange Tabby/White,Nov,2022
102615,A707462,Abby,2015-07-20 18:22:00,2015-02-13,Adoption,Foster,Dog,Spayed Female,5 months,Labrador Retriever/Labrador Retriever,Black/White,Jul,2015
137,A808447,Elle,2019-12-04 14:45:00,2019-05-08,Adoption,Foster,Dog,Intact Female,6 months,Labrador Retriever,Black,Dec,2019
119251,A723610,Oliver,2016-04-10 18:35:00,2015-04-03,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,Apr,2016
68966,A733123,Mochi,2017-02-23 12:45:00,2014-08-17,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White,Feb,2017
16776,A828719,Evelyn,2021-02-07 12:41:00,2019-08-15,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever/Australian Cattle Dog,White/Brown,Feb,2021
74896,A838084,Pippin,2021-07-24 14:57:00,2021-05-18,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby,Jul,2021
45205,A797210,Claudia,2019-08-17 10:45:00,2018-11-10,Adoption,Foster,Dog,Spayed Female,9 months,German Shepherd Mix,Brown/White,Aug,2019
129792,A774991,Timmy,2018-06-29 18:06:00,2014-06-23,Adoption,Foster,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Tan,Jun,2018
24092,A741582,Scarlet,2017-08-10 08:33:00,2016-04-04,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,Aug,2017
73223,A744888,Gordo,2017-03-26 18:01:00,2014-03-09,Adoption,Foster,Dog,Neutered Male,3 years,Dachshund Mix,Tan/Black,Mar,2017
31750,A746583,Freckles,2017-04-09 17:01:00,2017-01-05,Adoption,Foster,Dog,Neutered Male,3 months,Pit Bull Mix,Tan/White,Apr,2017
8422,A811497,Hannibal,2020-02-15 11:34:00,2015-01-04,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Medium Hair,Orange Tabby,Feb,2020
43955,A728802,Sunshine,2016-06-13 15:00:00,2016-04-16,Adoption,Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,Jun,2016
52488,A780606,Unknown,2018-09-24 19:02:00,2018-07-13,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Sep,2018
117403,A736489,Leon,2016-10-23 16:23:00,2014-10-11,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White,Oct,2016
149911,A876725,Sissy,2023-05-16 00:00:00,2023-03-04,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie,May,2023
9823,A710609,Tango,2015-10-11 14:23:00,2015-07-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,Oct,2015
150379,A856359,Aelin,2022-12-21 12:54:00,2022-03-27,Adoption,Foster,Cat,Spayed Female,8 months,Domestic Shorthair,Black Tabby,Dec,2022
96844,A706735,Reese,2015-07-12 17:44:00,2010-07-02,Adoption,Foster,Dog,Neutered Male,5 years,Australian Kelpie/Miniature Pinscher,Chocolate/Tan,Jul,2015
125930,A763698,Star,2018-01-05 16:54:00,2017-10-30,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Jan,2018
61249,A809994,AmeliaRose,2020-03-31 07:54:00,2019-12-03,Adoption,Foster,Cat,Intact Female,3 months,Domestic Shorthair,Black,Mar,2020
80371,A777011,Unknown,2018-08-18 12:20:00,2018-04-22,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,Aug,2018
21953,A675505,Ian,2014-04-01 11:28:00,2009-09-28,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White,Apr,2014
79638,A753161,Snow,2017-07-15 19:06:00,2017-04-25,Adoption,Foster,Cat,Intact Female,2 months,Domestic Shorthair,White/Brown Tabby,Jul,2017
3978,A825593,Gale,2020-12-16 12:06:00,2018-11-06,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown,Dec,2020
54687,A741282,Unknown,2017-01-05 19:01:00,2016-10-30,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,Jan,2017
18028,A876554,Raven,2023-03-27 18:27:00,2021-09-16,Adoption,Foster,Dog,Spayed Female,1 year,Australian Kelpie/Border Collie,Black/White,Mar,2023
64,A792258,Vesper,2019-04-10 20:53:00,2016-09-08,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,Apr,2019
32801,A676241,Unknown,2014-04-12 12:24:00,2014-01-22,Adoption,Foster,Dog,Spayed Female,2 months,German Shepherd/Doberman Pinsch,Black/Tan,Apr,2014
113909,A826045,Bowie,2021-01-02 15:02:00,2020-10-27,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White,Jan,2021
128977,A709388,Fifi,2015-08-22 13:35:00,2014-02-08,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie/White,Aug,2015
102123,A731957,Joey,2016-08-26 16:18:00,2016-04-02,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Cream Tabby/White,Aug,2016
154561,A871328,Chocoa,2023-01-03 16:33:00,2022-11-01,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Australian Cattle Dog,Black,Jan,2023
153596,A880287,Vivienne,2023-07-09 18:13:00,2023-04-21,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie,Jul,2023
125735,A707627,Jazzy,2015-07-21 18:51:00,2015-05-09,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White,Jul,2015
134131,A841061,Greyjoy,2021-08-30 17:24:00,2021-07-04,Adoption,Foster,Dog,Neutered Male,1 month,German Shepherd,Sable/White,Aug,2021
133577,A803056,Ziggy,2019-09-01 19:22:00,2016-08-26,Adoption,Foster,Dog,Neutered Male,3 years,Entlebucher/Basset Hound,Tricolor,Sep,2019
50639,A734079,Sassy,2016-09-11 17:02:00,2016-03-01,Adoption,Foster,Cat,Spayed Female,6 months,Maine Coon Mix,Brown Tabby,Sep,2016
91792,A812716,Unknown,2020-02-15 18:01:00,2018-01-27,Adoption,Foster,Other,Intact Male,2 years,Rabbit Sh Mix,White/Black,Feb,2020
87135,A793529,Honey,2019-04-30 16:46:00,2017-04-26,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White,Apr,2019
79513,A758234,Tyrion,2017-12-09 16:04:00,2015-11-13,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever,Yellow,Dec,2017
115927,A738672,Stella,2016-11-25 17:47:00,2015-11-19,Adoption,Foster,Dog,Spayed Female,1 year,German Shepherd/Alaskan Husky,White,Nov,2016
63845,A749934,Taylor,2017-05-26 14:50:00,2016-05-21,Adoption,Foster,Dog,Spayed Female,1 year,Dachshund Wirehair Mix,Brown/Black,May,2017
135527,A752257,Frank,2018-08-08 07:18:00,2013-01-06,Adoption,Foster,Dog,Neutered Male,5 years,German Shepherd Mix,Black/Tan,Aug,2018
65256,A823874,Orson,2020-11-13 13:36:00,2018-10-01,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Brown Tabby/White,Nov,2020
131153,A708737,Maverick,2015-08-29 17:31:00,2013-07-30,Adoption,Foster,Dog,Neutered Male,2 years,German Shepherd/Anatol Shepherd,Sable,Aug,2015
140645,A687677,Unknown,2014-09-12 17:29:00,2012-03-08,Adoption,Foster,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Red Merle/White,Sep,2014
143779,A669848,Unknown,2013-12-29 18:12:00,2013-09-28,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby/White,Dec,2013
72719,A784810,Tigger,2018-12-31 11:26:00,2018-09-02,Adoption,Foster,Dog,Neutered Male,3 months,Plott Hound,Brown Brindle,Dec,2018
136777,A755553,Midnight,2018-03-10 12:31:00,2017-07-04,Adoption,Foster,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Black,Mar,2018
52287,A667392,Blinky,2013-12-04 18:09:00,2012-11-17,Adoption,Foster,Dog,Spayed Female,1 year,Australian Shepherd Mix,Black,Dec,2013
137389,A818399,Billy,2020-10-05 15:54:00,2020-01-02,Adoption,Foster,Dog,Neutered Male,9 months,Chinese Sharpei/Pit Bull,Blue/White,Oct,2020
146543,A864396,Malachi,2022-09-13 19:44:00,2021-08-25,Adoption,Foster,Dog,Neutered Male,1 year,Alaskan Malamute,White/Black,Sep,2022
56249,A741961,Chanel,2017-02-04 14:28:00,2016-10-03,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,Feb,2017
45270,A757780,Clover,2017-09-16 14:44:00,2016-09-06,Adoption,Offsite,Dog,Neutered Male,1 year,Boxer Mix,Tan/White,Sep,2017
128364,A800578,Doppelbock,2019-08-09 17:48:00,2015-04-15,Adoption,Foster,Dog,Neutered Male,4 years,Chow Chow/German Shepherd,Tan/Black,Aug,2019
96213,A760270,Joker,2017-10-19 17:22:00,2017-08-15,Adoption,Foster,Dog,Neutered Male,2 months,Australian Shepherd Mix,White/Brown,Oct,2017
128125,A789952,Chico,2019-03-06 18:43:00,2018-03-02,Adoption,Foster,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,White/Black,Mar,2019
130774,A570239,Action,2015-05-30 14:45:00,2008-11-05,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull,White/Tan,May,2015
99547,A673068,Scout,2014-02-23 13:00:00,2012-02-19,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,Feb,2014
11671,A728054,BugsBunny,2016-06-01 17:32:00,2016-03-15,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,Jun,2016
5489,A769916,Romeo,2018-04-20 16:39:00,2017-04-12,Adoption,Foster,Dog,Neutered Male,1 year,Whippet Mix,Brown Brindle,Apr,2018
106103,A821676,Thistle,2020-10-03 08:06:00,2020-07-24,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Oct,2020
78653,A774290,Unknown,2018-07-13 19:22:00,2018-04-10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,Jul,2018
133488,A723086,Bert,2016-04-05 13:29:00,2015-03-26,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Apr,2016
32380,A870541,Bitsy,2022-12-15 17:42:00,2019-12-08,Adoption,Foster,Other,Intact Female,3 years,Rabbit Sh,Brown/White,Dec,2022
76064,A745620,Tony,2019-04-06 18:16:00,2016-10-21,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,Apr,2019
64819,A703638,Henry,2015-06-23 07:29:00,2015-04-18,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange/White,Jun,2015
135416,A776790,PhoebeVidal,2018-07-21 16:17:00,2018-05-04,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Silver,Jul,2018
92884,A873856,MrBug,2023-02-26 17:51:00,2020-02-01,Adoption,Foster,Dog,Neutered Male,3 years,Australian Cattle Dog,Black/White,Feb,2023
53168,A728559,Unknown,2016-06-14 19:39:00,2015-06-05,Adoption,Foster,Dog,Spayed Female,1 year,Beagle Mix,White/Tricolor,Jun,2016
42006,A694129,Bear,2018-06-09 17:46:00,2014-05-14,Adoption,Foster,Dog,Neutered Male,4 years,Miniature Pinscher Mix,Brown,Jun,2018
39494,A683596,Fiona,2015-03-20 19:02:00,2014-05-05,Adoption,Foster,Cat,Spayed Female,10 months,Domestic Longhair Mix,Brown Tabby,Mar,2015
152491,A885963,Unknown,2023-08-14 16:17:00,2023-04-13,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Orange Tabby/White,Aug,2023
91711,A760683,Unknown,2017-10-26 18:53:00,2017-05-07,Adoption,Foster,Dog,Neutered Male,5 months,Anatol Shepherd Mix,Tan/Tan,Oct,2017
32809,A693544,Sebastian,2014-12-27 12:05:00,2013-12-10,Adoption,Foster,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Tick,Dec,2014
60406,A727469,Lily,2016-05-26 17:43:00,2013-05-22,Adoption,Foster,Dog,Spayed Female,3 years,Maltese Mix,White,May,2016
24558,A733114,Avery,2017-01-28 15:29:00,2016-08-10,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Gray/White,Jan,2017
105966,A819041,Joi,2020-10-15 17:07:00,2012-06-20,Adoption,Foster,Dog,Neutered Male,8 years,Dalmatian Mix,White/Black,Oct,2020
130545,A837508,Mia,2021-07-28 14:41:00,2021-05-23,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White,Jul,2021
71832,A808874,Unknown,2019-11-19 16:11:00,2019-09-15,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/German Shepherd,Brown,Nov,2019
87618,A694383,Unknown,2014-12-31 16:03:00,2014-10-27,Adoption,Foster,Dog,Spayed Female,2 months,Akita Mix,Brown/White,Dec,2014
130758,A865352,Table,2022-09-21 15:36:00,2022-06-09,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White,Sep,2022
102466,A855170,MrBlue,2022-05-26 16:34:00,2022-03-07,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,May,2022
136786,A814008,ChanelMarie,2020-06-18 13:46:00,2011-02-22,Adoption,Foster,Dog,Spayed Female,9 years,Chihuahua Shorthair,Tan,Jun,2020
144020,A881262,Unknown,2023-05-26 17:34:00,2022-09-01,Adoption,Foster,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby,May,2023
138227,A754421,Rousey,2017-07-25 17:40:00,2015-07-20,Adoption,Foster,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White,Jul,2017
104865,A755974,Aki,2017-08-30 15:57:00,2014-08-24,Adoption,Foster,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black,Aug,2017
105240,A772526,Unknown,2018-06-23 18:16:00,2018-04-26,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Cream Tabby,Jun,2018
18395,A767454,Luna,2018-03-05 18:36:00,2017-12-14,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black,Mar,2018
37380,A781146,Treyden,2018-09-30 18:20:00,2018-06-25,Adoption,Foster,Dog,Neutered Male,3 months,Staffordshire Mix,Brown/White,Sep,2018
150625,A873604,LittleCaesar,2023-03-13 16:15:00,2023-01-06,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,Tricolor,Mar,2023
37763,A722723,Palmer,2016-04-08 12:55:00,2015-03-21,Adoption,Foster,Other,Spayed Female,1 year,Lop-Mini,Chocolate,Apr,2016
147440,A862752,A862752,2022-08-04 16:41:00,2022-05-30,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair,White/Tan,Aug,2022
34635,A803731,Ash,2019-10-23 12:18:00,2019-08-10,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Blue,Oct,2019
39179,A680115,Buddy,2015-09-03 16:51:00,2013-05-30,Adoption,Foster,Dog,Neutered Male,2 years,Black Mouth Cur Mix,Tan/White,Sep,2015
95912,A715358,Lynndy,2015-12-06 11:46:00,2015-08-21,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Dec,2015
110268,A759878,Unknown,2017-10-13 17:44:00,2014-10-09,Adoption,Foster,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown Brindle,Oct,2017
120848,A821639,Unknown,2021-01-13 09:56:00,2020-07-14,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair,Black/White,Jan,2021
97351,A756746,Halle,2017-09-03 17:51:00,2007-08-24,Adoption,Foster,Dog,Spayed Female,10 years,Shiba Inu Mix,Black/White,Sep,2017
73838,A761721,Maya,2017-11-14 11:53:00,2017-03-08,Adoption,Foster,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Black Brindle/Brown,Nov,2017
82056,A694520,Pickle,2015-01-02 17:57:00,2014-03-01,Adoption,Foster,Dog,Neutered Male,10 months,Dachshund,Black/White,Jan,2015
80852,A756475,Addie,2017-08-28 17:46:00,2015-08-20,Adoption,Foster,Dog,Spayed Female,2 years,Dachshund Mix,Brown,Aug,2017
148631,A851211,LemonMeringue,2022-02-10 15:30:00,2021-12-08,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Brown Brindle/White,Feb,2022
109386,A872897,Unknown,2023-01-19 16:47:00,2022-10-17,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Calico,Jan,2023
4295,A790768,Ceelo,2019-06-11 10:38:00,2017-03-16,Adoption,Foster,Dog,Neutered Male,2 years,Border Collie Mix,Yellow Brindle,Jun,2019
68510,A798748,Unknown,2019-08-03 15:33:00,2019-05-21,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue/White,Aug,2019
50759,A836314,Puppernickle,2021-11-19 14:29:00,2019-06-08,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,White/Blue,Nov,2021
16150,A619865,Chuckie,2014-07-13 14:29:00,2009-02-08,Adoption,Foster,Dog,Neutered Male,5 years,Rhod Ridgeback/Labrador Retriever,Red/White,Jul,2014
56293,A736099,Demetri,2016-11-05 09:30:00,2010-10-04,Adoption,Foster,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Blue/White,Nov,2016
154927,A885780,Cloudy,2023-08-04 16:45:00,2023-05-25,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair,White,Aug,2023
62593,A749946,Kole,2018-08-19 18:32:00,2017-04-06,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,Aug,2018
10762,A720211,Foxy,2016-02-06 11:41:00,2005-02-04,Adoption,Foster,Dog,Spayed Female,11 years,Lowchen Mix,White,Feb,2016
128604,A819163,Unknown,2020-07-24 13:23:00,2020-05-16,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Lynx Point/White,Jul,2020
